Product Name,Brand Name,Store Location,Product Price,Total Sold,Product Rating
OPPO A98 5G 8/256 GB GARANSI RESMI + FULL BONUS,OPPO,Jakarta Pusat,4299000,20,5.0
VIVO Y16 4/64 GB GARANSI RESMI,VIVO,Cirebon,1189000,24,5.0
VIVO Y27 5G 6/128GB NFC DIMENSITY 6020 50MP KAMERA GARANSI RESMI,VIVO,Jakarta Utara,2299000,22,5.0
VIVO Y17S RAM 6/128 GB GARANSI RESMI VIVO INDONESIA  - GLITTER PURPLE,VIVO,Tangerang,1679160,14,5.0
OPPO A18 8/128GB ( 4GB + 4GB EXTENDED RAM ) GARANSI RESMI OPPO,OPPO,Bekasi,1799000,1,5.0
OPPO A98 5G 8/256GB NFC 64MP AI CAMERA 67W SUPERVOOC GARANSI RESMI - A98 5G BLUE,OPPO,Jakarta Utara,4299000,27,5.0
OPPO A54 SMARTPHONE 4GB/64GB - 4GB/128GB - 6GB/128GB (GARANSI RESMI),OPPO,Sukabumi,3099000,100,5.0
VIVO Y17S 4GB/128GB 6GB/128GB - 4GB/64GB,VIVO,Medan,1345000,20,4.9
REALME 11 8/256 REALME11 4G NFC 8/256 GARANSI RESMI INDONESIA,REALME,Bekasi,3299000,1,5.0
"OPPO A18 (RAM 4, ROM 128, REFRESH RATE 90HZ)",OPPO,Malang,1499000,4,5.0
REALME C67 8/128 8/256 GB NFC RAM 8 ROM 128 256 8GB 128GB 256GB 512GB,REALME,Jakarta Pusat,2411000,9,5.0
VIVO Y27S NFC 8/256 GB 8/128 GB GARANSI RESMI Y17 S NOT Y22 Y27 Y36,VIVO,Jakarta Pusat,1993000,100,4.9
VIVO Y02T 4/64GB GARANSI RESMI,VIVO,Jakarta Pusat,1128000,250,5.0
"OPPO A18 (RAM 4, ROM 128, REFRESH RATE 90HZ)",OPPO,Malang,1499000,4,5.0
REALME C67 8/128 8/256 GB NFC RAM 8 ROM 128 256 8GB 128GB 256GB 512GB,REALME,Jakarta Pusat,2411000,9,5.0
OPPO A58 6/128 8/128 GB RAM 6GB 8GB ROM 128GB ORIGINAL RESMI,OPPO,Jakarta Utara,2097000,3,5.0
OPPO A18 8/128GB ( 4GB + 4GB EXTENDED RAM ) GARANSI RESMI,OPPO,Bekasi,1799000,4,5.0
REALME C67 8/128 8/256 GB RAM 8GB 128GB 256GB 512GB GARANSI RESMI,REALME,Jakarta Utara,2392000,70,5.0
VIVO V29E 5G NFC 44W FASTCHARGE SNAPDRAGON 695 PROSESOR GARANSI RESMI,VIVO,Jakarta Utara,3699000,28,5.0
