,link,name,price,rating,total_sold,store_name,store_location
0,https://www.tokopedia.com/waspa10/new-arrival-smartphone-pova-6-pro-7-3-inch-layar-hd-16gb-1tb-hp-murah-cuci-gudang-2024-asli-ori-dual-card-sim-5g-camera-72mp-108mp-hd-cface-id-original-cheap-smartphone-ponsel-asli-baru-100-brand-new-hitam-1tb-73e25?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D20250301042531E7F72256397B2D1A4E75%26src%3Dsearch,New arrival SmartPhone Pova 6 Pro 7.3 inch Layar HD 16GB+1TB hp murah cuci gudang 2024 asli ori Dual Card SIM 5G Camera 72MP+108MP HD CFace ID Original Cheap Smartphone Ponsel Asli Baru 100% Brand New,Rp1.045.000,5.0,2 terjual,waspa10 store,Surabaya
1,https://www.tokopedia.com/mafiakaos/hp-vivo-y27-ram-8-gb-256-gb-5g-nfc-baru-murah-hitam-33bad?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D20250301042531E7F72256397B2D1A4E75%26src%3Dsearch,HP VIVO Y27 RAM 8 GB 256 GB 5G NFC BARU MURAH,Rp1.200.000,3.8,7 terjual,Mafia Kaos,Jakarta Barat
2,https://www.tokopedia.com/queenofgadget/hp-xlaoml-redml-12-8-256-gb-fullset-new-handphone-smartphone-murah-hitam-a49bc?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D20250301042531E7F72256397B2D1A4E75%26src%3Dsearch,HP XlAOMl REDMl 12 8/256 GB FullSet New Handphone Smartphone Murah,Rp1.119.000,4.1,22 terjual,Queen of Gadget,Jakarta Barat
3,https://www.tokopedia.com/kalolakuaja/itel-rs4-12gb-256gb-12-256-8-128-baru-new-original-resmi-hp-game-murah-12-256gb-putih-126ee?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D20250301042531E7F72256397B2D1A4E75%26src%3Dsearch,ITEL RS4  12gb/256gb 12/256 8/128 Baru new Original Resmi HP game murah,Rp2.099.000,5.0,No name available,KALOLAKUAJA,Jakarta Selatan
4,https://www.tokopedia.com/archive-tria3434/iphone-xs-max-ultimate-dual-sim-hp-batam-harga-murah-garansi-pstor?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D20250301042531E7F72256397B2D1A4E75%26src%3Dsearch,iPhone XS MAX Ultimate Dual SIM | Hp Batam Harga Murah | Garansi Pstor,Rp1.999.000,No name available,No name available,tria3434,Medan
5,https://www.tokopedia.com/bima12/hp-baru-reno9-pro-handphone-murah-original-android-terbaru-2023-biru-128gb-97143?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D20250301042531E7F72256397B2D1A4E75%26src%3Dsearch,Hp baru Reno9 pro handphone murah Original android terbaru 2023,Rp1.058.000,4.4,18 terjual,BIMA12 TOKO,Surabaya
6,https://www.tokopedia.com/liburanimpian/hp-terbaru-2023-v27e-5g-ram-12gb-rom-512gb-7-5inci-handphone-murah-hp-hitam-128gb-1666d?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D20250301042531E7F72256397B2D1A4E75%26src%3Dsearch,Hp Terbaru 2023 V27e 5G RAM 12GB ROM 512GB 7.5inci handphone murah hp,Rp1.874.350,No name available,No name available,Sumber Panguripan01,Jakarta Selatan
7,https://www.tokopedia.com/rsanjaya-6/ready-flash-sale-hp-murah-reno9-pro-5g-7-5inci-ponsel-jaminan?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D20250301042531E7F72256397B2D1A4E75%26src%3Dsearch,Ready 【FLASH SALE】 hp murah Reno9 Pro+ 5G 7.5Inci Ponsel Jaminan,Rp2.956.000,No name available,No name available,Robotek Sanjaya,Jakarta Selatan
8,https://www.tokopedia.com/meyshabeauty/handphone-murah-s22-ultra-5g-layar-6-7inch-hitam?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D20250301042531E7F72256397B2D1A4E75%26src%3Dsearch,Handphone Murah S22 Ultra 5G layar 6.7inch,Rp2.400.000,5.0,9 terjual,meysha beauty,Jakarta Timur
9,https://www.tokopedia.com/newpsstorejakarta/hp-vivo-v29-12-128gb-new-garansi-1-tahun-hp-murah-bagus-fullset?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D20250301042531E7F72256397B2D1A4E75%26src%3Dsearch,Hp VIVO V29 12/128GB New Garansi 1 Tahun | Hp Murah Bagus Fullset,Rp1.350.000,No name available,1 terjual,Ps Store_Jakarta,Jakarta Barat
