,link,product_description,customer_satisfaction,total_rating_info
0,https://www.tokopedia.com/waspa10/new-arrival-smartphone-pova-6-pro-7-3-inch-layar-hd-16gb-1tb-hp-murah-cuci-gudang-2024-asli-ori-dual-card-sim-5g-camera-72mp-108mp-hd-cface-id-original-cheap-smartphone-ponsel-asli-baru-100-brand-new-hitam-1tb-73e25?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D20250301042531E7F72256397B2D1A4E75%26src%3Dsearch,"Penjualan langsung pabrik, kualitas yang lebih baik tapi harga yang lebih rendah adalah target dan misi kita! fitur - layar penuh 6,8inch The Pova 6 Pro memberikan pengalaman pemandangan anda selalu ingin, dengan rasio 93%-screen-to-body pada layar 6,8inch - 72MP depan kamera aclear dan foto Selfies Pova 6 Pro dunia memimpin 72MP depan kamera turnsyour setiap selfe ke dalam karya seni greaterkecerahan, semangat warna, kearifan dan jangkauan dinamis. Bahkan dalam cahaya teredup, kapanpun kau membutuhkannya. Pova 6 Pro+ anda ada di sana dengan anda, menangkap setiap saat dengan presisi kristal jelas, mengubah selfies-mu menjadi karya agung dan bersinar di setiap foto -108MP kamera belakang HD Pova 6 Pro fitur kombinasi kamera 108MP. Kamera utama sportsa besar f2.0 aperture dan 1.28um pixels, ini kombinasi kuat meningkatkan photosensitibityin backlight atau low light, hanya titik dan menembak, dan Pova 6 Pro+ akan memastikan gambar anda tetap jelas dan terang - akses wajah Pova 6 Pro juga mendukung pengenalan wajah aktivasi,Pova 6 Pro scan fitur wajah anda dan membuka kunci instaneouslymengakses ponsel anda tidak pernah begitu mudah, atau begitu menyenangkan - penampilan yang kuat The city 9300 mobile platform dengan 10mm proses teknologi membuat kaum muda yang mencintai muda dan stiand permainan populer lainnya. Permainan ison dan lower - Android 14.0 Desain interaktif yang baru membuat operasi menjadi sederhana dan sederhana, penggunaan telepon themobile sangat sederhana dan langsung, semuanya mudah - Dual SIM card mendukung kartu TF Dual kartu ganda siaga, slot kartu tidak membedakan antara utama dan wakil, mendukung dunia 50 jaringan pembawa komunikasi utama spesifikasi 1. Model No. Pova 6 Pro 2. Peron dimensi 9300 3. Siaga ganda sim ganda siaga (Dual sim + l3) HD layar 440x3200 5. Pembicara 1511 pembicara kotak 6. Frekuensi gsmsm8509001800mhz, 3gwwcdma85019002100mhz,4G LTE 5G 7. Dukungan getaran 8. Warna hitam. hijau 9. Kenangan 16GB RAM+1TB ROM 10. Beberapa Media MP3MP43GPFM RadioBluetooth 11. Kamera 72MP+108MP 13. Dukungan multi-bahasa 14. Yang lain Android 14 sistemname 15. Baterai 6800Mah baterai Lithium-ion Paket disertakan 1 x Smartphone, Adaptor Charger 1 x, Headphone 1 x, 1 x Manual penggunaname 1 x kasus telephon 1 x film perlindungan",100% pembeli merasa puas,1 rating • 0 ulasan
1,https://www.tokopedia.com/mafiakaos/hp-vivo-y27-ram-8-gb-256-gb-5g-nfc-baru-murah-hitam-33bad?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D20250301042531E7F72256397B2D1A4E75%26src%3Dsearch,"READY STOK SIAP KIRIM WARNA HITAM DAN BIRU BARANG BARU MULUS DAN SEGEL VIVO Y27 RAM 8GB 256GB GARANSI DISTRIBUTOR 1 TAHUN Model Registrasi Jaringan : V2249 Prosesor : MediaTek Helio G85 RAM : 8GB + 256GB Extended RAM Penyimpanan : 256GB (Memori Eksternal hingga 1TB) Baterai : 5000 mAh (TYP) Warna : Sea Blue / Burgundy Black Sistem Operasi : Funtouch OS 13 (Based on Android 13) Dimensi : 164.06mm x 76.17mm x 8.07mm Berat : 190g Pengisian Daya : 44W FlashCharge Material : 2.5D Plastik Kaca dengan Dynamic Design Layar : 6.64 inci Resolusi : 2388 1080 (FHD+) Tipe : LCD Layar Sentuh : Multisentuh Kapasitif SIM Slot Tipe : 1 nano SIM + 1 nano SIM + 1 micro SD Mode Standby : Dual SIM Dual Standby (*NA) Kamera : Depan 8MP / Belakang 50MP + 2MP Apertur : Depan f/2.0 (8MP), Belakang f/1.8 (50MP) + f/2.4 (2MP) Lampu Flash : Lampu Flash Belakang Mode Pemandangan : Photo, Night, Portrait, Video, 50MP, Panorama, Live Photo, Slo-mo, Time-Lapse, Pro, Documents Pemutaran Audio : AAC, WAV, MP3, MP2, MP1, MIDI, Vorbis, APE, FLAC, OPUS Pemutaran Video : AAC, WAV, M4A, MP3, MP2, MP1, MIDI, OGG, APE, FLAC Perekaman Video	 : MP4 Perekaman Suara : Didukung Wi-Fi : 2.4 GHz / 5 GHz Bluetooth : Bluetooth 5.0 USB : Type-C GPS : Didukung OTG : Didukung FM : Didukung NFC : Didukung Lokasi : GPS, BEIDOU, GLONASS, GALILEO, QZSS Akselerometer : Didukung Sensor Cahaya Sekitar : Didukung Sensor Jarak : Didukung Kompas Elektronik : Didukung Sensor Sidik Jari : Didukung",60% pembeli merasa puas,5 rating • 4 ulasan
2,https://www.tokopedia.com/queenofgadget/hp-xlaoml-redml-12-8-256-gb-fullset-new-handphone-smartphone-murah-hitam-a49bc?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D20250301042531E7F72256397B2D1A4E75%26src%3Dsearch,"Welcome to QueenGadget ! -Diharapkan untuk membaca deskripsi- -membeli / order berarti setuju -Garansi toko 1 tahun -Harap ikuti syarat dan ketentuan toko untuk claim garansi syarat untuk claim garansi : -Hubungi kami dengan menyertakan Nomor Pesanan dan Video Unboxing dari awal hingga akhir - Garansi otomatis HANGUS apabila disebabkan oleh human error ( terkena air, jatuh, dsb ) - wajib memberikan bintang 5, dan bila langsung memberikan review jelek maka garansi otomatis HANGUS - Jika ada kendala harap untuk chat dulu sebelum memberikan review negatif Happy Shopping! Spesifikasi : - Jaringan : 3G, 4G - Dimensi : 168,6 x 76,3 x 8,2 mm - Berat : 198,5 g - Sim Card : 2 Slots - Layar : 6'79 Inch , 1080 x 2460 Pixels - Chipset : MediaTek Helio  G88 - Memory : Ram 8 GB + Rom 128 GB - Kamera : 8 MP( depan ) + 50 MP ( belakang ) - Video : 1080@30fps - USB : Type C - Battery : 5000 mAh ( support fast charging )",81% pembeli merasa puas,11 rating • 4 ulasan
3,https://www.tokopedia.com/kalolakuaja/itel-rs4-12gb-256gb-12-256-8-128-baru-new-original-resmi-hp-game-murah-12-256gb-putih-126ee?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D20250301042531E7F72256397B2D1A4E75%26src%3Dsearch,"Cicilan Mudah dengan atau Tanpa Kartu kredit, Proses mudah hanya 3 Menit Penting.!! *Barang Dijamin 100% Brand New In Box + Segel Unit dan Aksesoris *Barang 100% ORIGINAL Garansi UANG KEMBALI *Garansi Resmi ITEL Indonesia 1 Tahun *Jaminan IMEI Terdaftar di Indonesia",100% pembeli merasa puas,1 rating • 1 ulasan
4,https://www.tokopedia.com/archive-tria3434/iphone-xs-max-ultimate-dual-sim-hp-batam-harga-murah-garansi-pstor?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D20250301042531E7F72256397B2D1A4E75%26src%3Dsearch,"Ready Stok ya kak : Rosegold, White, Black IPHONE XS MAX FULL SCREEN 6.5"" ULTIMATE DUAL SIM FACE ID DESKRIPSI: -REAL HDC PRODUCT -REAL FULLSCREEN INFINITY DISPLAY 6.5"" -SUPPORT DUAL SIM ( 2 NANO SIM ) -PROCESSOR REAL MTK6580 QUADCORE -RAM REAL 2GB( 1GB HARDWARE+SWAP RAM 1GB ), ROM REAL 16GB -LAYAR REAL 6.5 INCH LIKE ORI,BODY FULL METAL ALUMINIUM,PORT LIKE ORI -IPS LCD 16JT WRN,LAYAR HD 1280X720 PXL -CAM BLKG 12MP(REAL), CAM DPN 5MP(REAL) -LOGO BOOTING APPLE LIKE ORI -THEMES IOS 12 -EFEK 3D JARUM JAM BERGERAK -3D TOUCH ON MENU -HOME BUTTON TOUCH LIKE ORI -GAMES HD BERAT DAN MOVIE BLUERAY LANCAR JAYA -ASSISTIVE TOUCH ON LIKE ORI -SPEAKER KENCANG N JERNIH",Customer satisfaction information not found.,Rating information not found.
5,https://www.tokopedia.com/bima12/hp-baru-reno9-pro-handphone-murah-original-android-terbaru-2023-biru-128gb-97143?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D20250301042531E7F72256397B2D1A4E75%26src%3Dsearch,"Specification: 1.Model No.:Reno9 Pro 2.Platform : Snapdragon 8 Gen 2 3.Standby: Dual sim dual standby(A slot support SIM card, another slot support SIM card or TF card) 4.Screen: 7.3 HD+ Full Display 1440*3200 5.Speaker: 1511 Box Speaker 6.Frequency: GSM850/900/1800/1900MHz, 3G: WCDMA850/1900/2100MHz，5G LTE  5G7.Vibration: Suppo",78% pembeli merasa puas,14 rating • 13 ulasan
6,https://www.tokopedia.com/liburanimpian/hp-terbaru-2023-v27e-5g-ram-12gb-rom-512gb-7-5inci-handphone-murah-hp-hitam-128gb-1666d?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D20250301042531E7F72256397B2D1A4E75%26src%3Dsearch,"Produk memiliki masa garansi  Semua produk dalam stok  Pengiriman: Pesanan akan tiba dalam waktu 1-3hari  Produk: Pengerjaan halus, desain cantik  Deskripsi Produk Model: V27e Platform: Android 11.0 4G / 5G LTE Siaga: Kartu ekspansi kartu TF vertikal dua lapis Layar: 7,5 inci Frekuensi: GSM: 800/900/1800/1900, WCDMA: 850/2100 Warna: Hitam,Biru,emas,Ungu Memori: RAM 12GB + ROM 512GB Kamera: 24MP + 58MP Resolusi：1440*3040 Multifungsi: pengenalan wajah, wifi mode tunggal, GPS, sensor gravitasi, jam alarm, kalender, kalkulator, perekam audio, perekam video, wap/mms/gprs/, penampil gambar, tugas e-book, sampul IML Bahasa: Dukungan multi-bahasa Baterai: Baterai lithium-ion 6800mAh  Isi Kemasan: 1 x adaptor pengisi daya 1 x kabel pengisi daya 1 x headset 1 x Panduan Pengguna 1 x casing ponsel 1 x film pelindung  •Melayani: 1. Semua produk 100% Baru •Menjamin Kami mengembalikan uang, mengirim ulang atau yang terbaik untuk produk apa pun untuk produk yang rusak atau cacat.  •Tips： Jika terjadi kesalahan manusia (user error), produk tidak dapat dikembalikan atau ditukar, contoh: - Terkena Cairan - Segel Rusak Atau Hilang - Terbakar - Terjatuh / Gompal / Lecet",Customer satisfaction information not found.,Rating information not found.
7,https://www.tokopedia.com/rsanjaya-6/ready-flash-sale-hp-murah-reno9-pro-5g-7-5inci-ponsel-jaminan?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D20250301042531E7F72256397B2D1A4E75%26src%3Dsearch,"Ready  Produk memiliki masa garansi  Semua produk dalam stok  Pengiriman: Pesanan akan tiba dalam waktu 2-3hari  Produk: Pengerjaan halus, desain cantik  Deskripsi Produk Model: Reno9 PRO+ Platform: Android 11.0 4G / 5G LTE Siaga: Kartu ekspansi kartu TF vertikal dua lapis Layar: 7,5 inci Frekuensi: GSM: 800/900/1800/1900, WCDMA: 850/2100 Warna: Hitam,Biru,Sky Biru Memori: RAM 12GB + ROM 512GB Kamera: 24MP + 58MP Resolusi：1440*3040 Multifungsi: pengenalan wajah, wifi mode tunggal, GPS, sensor gravitasi, jam alarm, kalender, kalkulator, perekam audio, perekam video, wap/mms/gprs/, penampil gambar, tugas e-book, sampul IML Bahasa: Dukungan multi-bahasa Baterai: Baterai lithium-ion 5800mAh  Isi Kemasan: 1 x adaptor pengisi daya 1 x kabel pengisi daya 1 x headset 1 x Panduan Pengguna 1 x casing ponsel 1 x film pelindung  •Melayani: 1. Semua produk 100% Baru •Menjamin Kami mengembalikan uang, mengirim ulang atau yang terbaik untuk produk apa pun untuk produk yang rusak atau cacat.  •Tips： Jika terjadi kesalahan manusia (user error), produk tidak dapat dikembalikan atau ditukar, contoh: - Terkena Cairan - Segel Rusak Atau Hilang - Terbakar - Terjatuh / Gompal / Lecet",Customer satisfaction information not found.,Rating information not found.
8,https://www.tokopedia.com/meyshabeauty/handphone-murah-s22-ultra-5g-layar-6-7inch-hitam?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D20250301042531E7F72256397B2D1A4E75%26src%3Dsearch,"• Merek: berjemur  • Model No : S22u  • CPU: MTK6763 Deca Core (Latest 10 Core)  • SIM/TF: 2 SIM Card Slots (Nano SIM) + 1 TF Card Slots (Maximum support extension 128GB)  • Screen: 6.7nch 4K Screen  • Resolution :1080x2320  • Camera: Front Camera 13MP + Rear Camera 24MP  •Memory: 12GB RAM+512GB ROM •System: Android 10.0 System  • Battery: 5800mAh High Density Lithium-ion battery  • Unique Back Cover: Hot Bend 3D Plating Gradient Glass Back Cover. It is art, it is also technology!",100% pembeli merasa puas,2 rating • 2 ulasan
9,https://www.tokopedia.com/newpsstorejakarta/hp-vivo-v29-12-128gb-new-garansi-1-tahun-hp-murah-bagus-fullset?extParam=fcity%3D174%2C175%2C176%2C177%2C178%2C179%23144%2C146%2C150%2C151%2C167%2C168%2C171%2C174%2C175%2C176%2C177%2C178%2C179%2C463%23165%2346%23252%26ivf%3Dfalse%26keyword%3Dhp+murah%26search_id%3D20250301042531E7F72256397B2D1A4E75%26src%3Dsearch,"Ready ya kak Hp Vivo V29 HDC Deskripsi Produk Model:V29 Siaga: Kartu ekspansi kartu TF vertikal dua lapis Layar: 7,5 inci Warna: Titanium, Black, Blue, White Memori: RAM 12GB + ROM 512GB Resolusi：1440*3040 tugas e-book, sampul IML Bahasa: Dukungan multi-bahasa Baterai: Baterai lithium-ion 6800mAh Bluetooth：Bluetooth4.0 GPS：Bullt-in GPS,support A-GPS MAIN CAMERA: 68MP SELFIE CAMERAA: 32MP Hp Mirip VIVO v29 Isi Kemasan: 1 x adaptor pengisi daya 1 x kabel pengisi daya 1 x headset 1 x Panduan Pengguna 1 x casing ponsel 1 x film pelindung",Customer satisfaction information not found.,Rating information not found.
